Building populated grid (0.1 deg, city-radius=1)...
  15711 unique cells x 2 categories = 31422 reference calls.

  0 (cell,category) pairs already cached; resuming.

[10400/15711 cells] made=20799 skip=0 err=1 ~4986/hr
[10450/15711 cells] made=20899 skip=0 err=1 ~4986/hr
[10500/15711 cells] made=20999 skip=0 err=1 ~4986/hr
[10550/15711 cells] made=21099 skip=0 err=1 ~4986/hr
[10600/15711 cells] made=21199 skip=0 err=1 ~4986/hr
[10650/15711 cells] made=21299 skip=0 err=1 ~4986/hr
[10700/15711 cells] made=21399 skip=0 err=1 ~4986/hr
[10750/15711 cells] made=21499 skip=0 err=1 ~4986/hr
[10800/15711 cells] made=21599 skip=0 err=1 ~4986/hr
[10850/15711 cells] made=21699 skip=0 err=1 ~4986/hr
[10900/15711 cells] made=21799 skip=0 err=1 ~4986/hr
[10950/15711 cells] made=21899 skip=0 err=1 ~4986/hr
[11000/15711 cells] made=21999 skip=0 err=1 ~4986/hr
[11050/15711 cells] made=22099 skip=0 err=1 ~4986/hr
[11100/15711 cells] made=22199 skip=0 err=1 ~4987/hr
[11150/15711 cells] made=22299 skip=0 err=1 ~4987/hr
[11200/15711 cells] made=22399 skip=0 err=1 ~4987/hr
[11250/15711 cells] made=22499 skip=0 err=1 ~4987/hr
[11300/15711 cells] made=22599 skip=0 err=1 ~4987/hr
[11350/15711 cells] made=22699 skip=0 err=1 ~4987/hr
[11400/15711 cells] made=22799 skip=0 err=1 ~4987/hr
[11450/15711 cells] made=22899 skip=0 err=1 ~4987/hr
[11500/15711 cells] made=22999 skip=0 err=1 ~4987/hr
[11550/15711 cells] made=23099 skip=0 err=1 ~4987/hr
[11600/15711 cells] made=23199 skip=0 err=1 ~4984/hr
[11650/15711 cells] made=23299 skip=0 err=1 ~4983/hr
[11700/15711 cells] made=23399 skip=0 err=1 ~4983/hr
[11750/15711 cells] made=23499 skip=0 err=1 ~4983/hr
[11800/15711 cells] made=23599 skip=0 err=1 ~4983/hr
[11850/15711 cells] made=23699 skip=0 err=1 ~4983/hr
[11900/15711 cells] made=23799 skip=0 err=1 ~4983/hr
[11950/15711 cells] made=23899 skip=0 err=1 ~4984/hr
[12000/15711 cells] made=23999 skip=0 err=1 ~4984/hr
[12050/15711 cells] made=24099 skip=0 err=1 ~4984/hr
[12100/15711 cells] made=24199 skip=0 err=1 ~4984/hr
[12150/15711 cells] made=24299 skip=0 err=1 ~4984/hr
[12200/15711 cells] made=24399 skip=0 err=1 ~4984/hr
[12250/15711 cells] made=24499 skip=0 err=1 ~4984/hr
[12300/15711 cells] made=24599 skip=0 err=1 ~4984/hr
[12350/15711 cells] made=24699 skip=0 err=1 ~4984/hr
[12400/15711 cells] made=24799 skip=0 err=1 ~4984/hr
[12450/15711 cells] made=24899 skip=0 err=1 ~4984/hr
[12500/15711 cells] made=24999 skip=0 err=1 ~4984/hr
[12550/15711 cells] made=25099 skip=0 err=1 ~4984/hr
[12600/15711 cells] made=25199 skip=0 err=1 ~4984/hr
[12650/15711 cells] made=25299 skip=0 err=1 ~4984/hr
[12700/15711 cells] made=25399 skip=0 err=1 ~4984/hr
[12750/15711 cells] made=25499 skip=0 err=1 ~4984/hr
[12800/15711 cells] made=25599 skip=0 err=1 ~4985/hr
[12850/15711 cells] made=25699 skip=0 err=1 ~4985/hr
[12900/15711 cells] made=25799 skip=0 err=1 ~4985/hr
[12950/15711 cells] made=25899 skip=0 err=1 ~4985/hr
[13000/15711 cells] made=25999 skip=0 err=1 ~4985/hr
[13050/15711 cells] made=26099 skip=0 err=1 ~4985/hr
[13100/15711 cells] made=26199 skip=0 err=1 ~4985/hr
[13150/15711 cells] made=26299 skip=0 err=1 ~4985/hr
[13200/15711 cells] made=26399 skip=0 err=1 ~4985/hr
[13250/15711 cells] made=26499 skip=0 err=1 ~4985/hr
[13300/15711 cells] made=26599 skip=0 err=1 ~4985/hr
[13350/15711 cells] made=26699 skip=0 err=1 ~4985/hr
[13400/15711 cells] made=26799 skip=0 err=1 ~4985/hr
[13450/15711 cells] made=26899 skip=0 err=1 ~4985/hr
[13500/15711 cells] made=26999 skip=0 err=1 ~4985/hr
[13550/15711 cells] made=27099 skip=0 err=1 ~4985/hr
[13600/15711 cells] made=27199 skip=0 err=1 ~4985/hr
[13650/15711 cells] made=27299 skip=0 err=1 ~4985/hr
[13700/15711 cells] made=27399 skip=0 err=1 ~4985/hr
[13750/15711 cells] made=27499 skip=0 err=1 ~4985/hr
[13800/15711 cells] made=27599 skip=0 err=1 ~4985/hr
[13850/15711 cells] made=27699 skip=0 err=1 ~4986/hr
[13900/15711 cells] made=27799 skip=0 err=1 ~4986/hr
[13950/15711 cells] made=27899 skip=0 err=1 ~4986/hr
[14000/15711 cells] made=27999 skip=0 err=1 ~4986/hr
[14050/15711 cells] made=28099 skip=0 err=1 ~4986/hr
[14100/15711 cells] made=28199 skip=0 err=1 ~4986/hr
[14150/15711 cells] made=28299 skip=0 err=1 ~4986/hr
[14200/15711 cells] made=28399 skip=0 err=1 ~4986/hr
[14250/15711 cells] made=28499 skip=0 err=1 ~4985/hr
[14300/15711 cells] made=28599 skip=0 err=1 ~4986/hr
